Tanggal;"Nama User";Role;Aksi;Deskripsi;Subjek;"IP Address";"User Agent"
"03-09-2025 20:02";Algies_4444;STAFF;RESTORED_RESTORED_VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"03-09-2025 20:02";Algies_4444;STAFF;RESTORED_RESTORED_VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"03-09-2025 20:02";Algies_4444;STAFF;RESTORED_RESTORED_OPEN_PENGUKURAN_FORM;"Membuka form pengukuran indikator Jumlah Program Kerja Sama Internasional TW 1 Tahun 2026";"indikator_kinerja #50";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"03-09-2025 20:02";Algies_4444;STAFF;RESTORED_RESTORED_VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"03-09-2025 20:02";Algies_4444;STAFF;RESTORED_RESTORED_OPEN_PENGUKURAN_FORM;"Membuka form pengukuran indikator Jumlah Program Kerja Sama Internasional TW 1 Tahun 2026";"indikator_kinerja #50";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-11-2025 09:57";Algies_4444;STAFF;RESTORED_OPEN_PENGUKURAN_FORM;"Membuka form pengukuran indikator Jumlah Program Kerja Sama Internasional TW 1 Tahun 2026";"indikator_kinerja #50";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-11-2025 09:57";Algies_4444;STAFF;RESTORED_UPLOAD_FILE_PENGUKURAN;"Mengunggah 3 file pendukung pengukuran indikator Jumlah Program Kerja Sama Internasional TW 1 Tahun 2026";"pengukuran_kinerja #50";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-11-2025 09:57";Algies_4444;STAFF;RESTORED_SUBMIT_PENGUKURAN;"Mengisi pengukuran indikator Jumlah Program Kerja Sama Internasional TW 1 Tahun 2026 dengan realisasi 0 dari target 1";"pengukuran_kinerja #50";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-11-2025 09:57";Algies_4444;STAFF;RESTORED_VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"04-11-2025 09:57";Administrator;ADMIN;RESTORED_VIEW_PENGUKURAN;"Melihat output pengukuran kinerja Triwulan 1 Tahun Anggaran 2026";"pengukuran_kinerja #55";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
