Tanggal;User;Role;Aksi;Deskripsi;Subjek;IP;"User Agent"
"2025-11-05 19:58:46";1;ADMIN;ASSIGN_PIC;"Menetapkan PIC indikator kepada 1 pegawai";"indikator #54";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"2025-11-05 19:58:46";1;ADMIN;ASSIGN_PIC;"Menetapkan PIC indikator kepada 2 pegawai";"indikator #54";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"2025-11-05 19:58:46";1;ADMIN;TOGGLE_TRIWULAN;"Mengubah status TW 2 menjadi TERBUKA";"tw_settings #166";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"2025-11-05 19:58:46";1;ADMIN;TOGGLE_TRIWULAN;"Mengubah status TW 3 menjadi TERBUKA";"tw_settings #167";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"2025-11-05 19:58:46";1;ADMIN;TOGGLE_TRIWULAN;"Mengubah status TW 2 menjadi TERKUNCI";"tw_settings #166";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"2025-11-05 19:58:46";1;ADMIN;TOGGLE_TRIWULAN;"Mengubah status TW 3 menjadi TERKUNCI";"tw_settings #167";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"2025-11-05 19:58:46";68;STAFF;LOGIN;"Login ke sistem";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"2025-11-05 19:58:46";69;ATASAN;LOGIN;"Login ke sistem";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-05 19:58:46";68;STAFF;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"2025-11-05 19:58:46";69;ATASAN;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja (mode atasan)";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
